"cnty","year","sex","pop","deaths"
"King",2013,1,1021389,6219
"King",2013,2,1023060,6252
"Pierce",2013,1,407307,3047
"Pierce",2013,2,412436,2972
"Snohomish",2013,1,373991,2463
"Snohomish",2013,2,371922,2409
