"fips","year","income_median","poverty"
53001,2001,33558,16.5
53003,2001,32995,13.7
53005,2001,48034,9.4
53007,2001,37266,12.7
53009,2001,36334,12.2
53011,2001,48299,9
53013,2001,34353,12
53015,2001,39061,12.5
53017,2001,37683,12
53019,2001,29443,19.9
53021,2001,37048,16.7
53023,2001,33067,14.3
53025,2001,34554,15.9
53027,2001,33492,15.2
53029,2001,45819,7.6
53031,2001,38542,11.1
53033,2001,53982,7.5
53035,2001,47992,8.3
53037,2001,33563,14
53039,2001,34804,14.2
53041,2001,34847,13.2
53043,2001,35891,11.9
53045,2001,38776,12
53047,2001,29066,19.9
53049,2001,30652,15.1
53051,2001,32075,16.4
53053,2001,45337,9.5
53055,2001,44028,9.8
53057,2001,42185,10.8
53059,2001,39367,11.9
53061,2001,51841,7.6
53063,2001,37348,11.7
53065,2001,34231,15.2
53067,2001,47812,8.5
53069,2001,38743,9.7
53071,2001,35829,14
53073,2001,40185,11.7
53075,2001,30233,16.3
53077,2001,33633,17.9
