"fips","year","income_median","poverty"
53001,1999,33103,16.4
53003,1999,33062,15.2
53005,1999,46726,9.8
53007,1999,36264,12.8
53009,1999,35958,12.1
53011,1999,47776,9.4
53013,1999,33645,12.7
53015,1999,38649,12.8
53017,1999,37094,11.8
53019,1999,29462,18.2
53021,1999,35602,16.8
53023,1999,32744,11.7
53025,1999,34167,15
53027,1999,33218,15
53029,1999,44875,7.5
53031,1999,38050,11
53033,1999,52893,7.6
53035,1999,46022,8.6
53037,1999,33515,13.4
53039,1999,34439,15.4
53041,1999,34154,14
53043,1999,34883,11.3
53045,1999,38297,12.1
53047,1999,29111,18.8
53049,1999,30362,14.6
53051,1999,31330,18.2
53053,1999,44119,10
53055,1999,43191,8.2
53057,1999,41044,10.8
53059,1999,39421,10.6
53061,1999,51645,6.9
53063,1999,36835,12.2
53065,1999,33944,15.2
53067,1999,45980,8.6
53069,1999,38095,9.8
53071,1999,35354,13.3
53073,1999,39465,11.3
53075,1999,30505,14.1
53077,1999,32840,17.6
