"cnty","year","sex","pop","deaths"
"King",2010,1,965486,5770
"King",2010,2,971999,5988
"Pierce",2010,1,393265,2902
"Pierce",2010,2,402231,2785
"Snohomish",2010,1,358067,2233
"Snohomish",2010,2,357377,2237
