"fips","year","income_median","poverty"
53001,2002,34599,15.9
53003,2002,33606,13.9
53005,2002,50288,9.4
53007,2002,37904,12.7
53009,2002,37199,12.1
53011,2002,49040,9.6
53013,2002,34862,12.9
53015,2002,39410,12.5
53017,2002,38794,11.9
53019,2002,29680,19.1
53021,2002,38417,15.9
53023,2002,33103,13.3
53025,2002,35312,16.4
53027,2002,34151,15.2
53029,2002,46432,7.8
53031,2002,39556,11.4
53033,2002,53644,8.3
53035,2002,49870,8.2
53037,2002,34164,13.6
53039,2002,35642,14.6
53041,2002,35786,13.4
53043,2002,36546,11.8
53045,2002,40045,11.9
53047,2002,29478,19.6
53049,2002,30990,15
53051,2002,33009,15.4
53053,2002,46791,9.8
53055,2002,43911,9.5
53057,2002,43144,11.1
53059,2002,39240,11.6
53061,2002,52083,8.5
53063,2002,38552,12.3
53065,2002,34792,15.1
53067,2002,49510,8.6
53069,2002,39387,9.7
53071,2002,36523,14.3
53073,2002,40533,12.5
53075,2002,30573,16.4
53077,2002,34022,18.3
