"fips","year","income_median","poverty"
53001,2003,35241,15.7
53003,2003,34698,14.5
53005,2003,51753,10.1
53007,2003,38515,12.5
53009,2003,38651,11.9
53011,2003,50312,10.5
53013,2003,35153,11.9
53015,2003,40464,13.6
53017,2003,39520,11.9
53019,2003,30606,16.7
53021,2003,40404,15.1
53023,2003,33920,11.4
53025,2003,36283,15.7
53027,2003,35479,15
53029,2003,45551,8.2
53031,2003,40390,11.1
53033,2003,53541,9.4
53035,2003,51127,9.2
53037,2003,34993,13.5
53039,2003,36082,14.6
53041,2003,36808,13.5
53043,2003,37266,11.4
53045,2003,41312,11.9
53047,2003,30396,18.7
53049,2003,32101,13.7
53051,2003,34276,15.1
53053,2003,48205,10.7
53055,2003,44059,8.5
53057,2003,44636,11.4
53059,2003,40338,10.9
53061,2003,52907,9.4
53063,2003,39874,12.8
53065,2003,36112,14.7
53067,2003,50808,9
53069,2003,40416,9
53071,2003,37456,14
53073,2003,41971,13
53075,2003,31096,15.9
53077,2003,34780,17.8
