location_name,sex_name,years,mean
France,Males,years,11.94
France,Females,years,12.25
France,Both,years,12.1
Gabon,Males,years,7.54
Gabon,Females,years,6.86
Gabon,Both,years,7.2
Georgia,Males,years,13.41
Georgia,Females,years,13.59
Georgia,Both,years,13.5
Germany,Males,years,13.46
Germany,Females,years,13.17
Germany,Both,years,13.31
Ghana,Males,years,7.92
Ghana,Females,years,5.31
Ghana,Both,years,6.61
Greece,Males,years,11.71
Greece,Females,years,11.19
Greece,Both,years,11.45
Grenada,Males,years,8.62
Grenada,Females,years,8.51
Grenada,Both,years,8.56
Guatemala,Males,years,5.73
Guatemala,Females,years,4.87
Guatemala,Both,years,5.3
Guinea,Males,years,3.31
Guinea,Females,years,1.09
Guinea,Both,years,2.2
Guinea-Bissau,Males,years,3.26
Guinea-Bissau,Females,years,1.16
Guinea-Bissau,Both,years,2.21
Guyana,Males,years,9.63
Guyana,Females,years,9.57
Guyana,Both,years,9.6
Haiti,Males,years,5.35
Haiti,Females,years,4.02
Haiti,Both,years,4.68
Honduras,Males,years,6.33
Honduras,Females,years,6.43
Honduras,Both,years,6.38
Hungary,Males,years,12.74
Hungary,Females,years,12.82
Hungary,Both,years,12.78
Iceland,Males,years,14.08
Iceland,Females,years,14.02
Iceland,Both,years,14.05
India,Males,years,6.73
India,Females,years,3.68
India,Both,years,5.21
Indonesia,Males,years,8.04
Indonesia,Females,years,6.88
Indonesia,Both,years,7.46
Iran,Males,years,7.86
Iran,Females,years,5.55
Iran,Both,years,6.71
Iraq,Males,years,8.07
Iraq,Females,years,4.98
Iraq,Both,years,6.52
Ireland,Males,years,12.49
Ireland,Females,years,13.02
Ireland,Both,years,12.75
Israel,Males,years,14.38
Israel,Females,years,14.53
Israel,Both,years,14.46
Italy,Males,years,12.4
Italy,Females,years,12.15
Italy,Both,years,12.28
Jamaica,Males,years,10.27
Jamaica,Females,years,10.93
Jamaica,Both,years,10.6
Japan,Males,years,13.94
Japan,Females,years,13.95
Japan,Both,years,13.95
Jordan,Males,years,10.83
Jordan,Females,years,8.74
Jordan,Both,years,9.78
Kazakhstan,Males,years,12.69
Kazakhstan,Females,years,12.77
Kazakhstan,Both,years,12.73
Kenya,Males,years,7.78
Kenya,Females,years,5.55
Kenya,Both,years,6.67
Kiribati,Males,years,7.84
Kiribati,Females,years,7.25
Kiribati,Both,years,7.54
Kuwait,Males,years,10.02
Kuwait,Females,years,8.76
Kuwait,Both,years,9.39
Kyrgyzstan,Males,years,12.45
Kyrgyzstan,Females,years,12.48
Kyrgyzstan,Both,years,12.47
Laos,Males,years,5.96
Laos,Females,years,3.83
Laos,Both,years,4.9
Latin America and Caribbean,Males,years,7.96
Latin America and Caribbean,Females,years,7.92
Latin America and Caribbean,Both,years,7.94
Latvia,Males,years,13.12
Latvia,Females,years,13.74
Latvia,Both,years,13.43
Lebanon,Males,years,9.24
Lebanon,Females,years,8.73
Lebanon,Both,years,8.98
Lesotho,Males,years,6.43
Lesotho,Females,years,8.18
Lesotho,Both,years,7.31
Liberia,Males,years,6.11
Liberia,Females,years,2.64
Liberia,Both,years,4.37
Libya,Males,years,7.08
Libya,Females,years,4.26
Libya,Both,years,5.67
Lithuania,Males,years,12.36
Lithuania,Females,years,12.62
Lithuania,Both,years,12.49
Luxembourg,Males,years,12.96
Luxembourg,Females,years,12.59
Luxembourg,Both,years,12.77
Macedonia,Males,years,11.5
Macedonia,Females,years,10.46
Macedonia,Both,years,10.98
Madagascar,Males,years,5.61
Madagascar,Females,years,4.47
Madagascar,Both,years,5.04
Malawi,Males,years,5.62
Malawi,Females,years,3.25
Malawi,Both,years,4.44
Malaysia,Males,years,9.45
Malaysia,Females,years,8.11
Malaysia,Both,years,8.78
Maldives,Males,years,5.65
Maldives,Females,years,4.99
Maldives,Both,years,5.32
Mali,Males,years,2.09
Mali,Females,years,0.9
Mali,Both,years,1.5
Malta,Males,years,10.38
Malta,Females,years,10.28
Malta,Both,years,10.33
Marshall Islands,Males,years,10.63
Marshall Islands,Females,years,9.61
Marshall Islands,Both,years,10.12
Mauritania,Males,years,3.88
Mauritania,Females,years,2.12
Mauritania,Both,years,3
Mauritius,Males,years,8.96
Mauritius,Females,years,7.88
Mauritius,Both,years,8.42
Mexico,Males,years,8.73
Mexico,Females,years,8.21
Mexico,Both,years,8.47
Moldova,Males,years,11.82
Moldova,Females,years,12.07
Moldova,Both,years,11.94
Mongolia,Males,years,10.57
Mongolia,Females,years,10.68
Mongolia,Both,years,10.62
Montenegro,Males,years,12.53
Montenegro,Females,years,11.53
Montenegro,Both,years,12.03
Morocco,Males,years,4.41
Morocco,Females,years,2.45
Morocco,Both,years,3.43
Mozambique,Males,years,4.23
Mozambique,Females,years,2.54
Mozambique,Both,years,3.38
Myanmar,Males,years,5.95
Myanmar,Females,years,5.34
Myanmar,Both,years,5.65
Namibia,Males,years,7.11
Namibia,Females,years,7.01
Namibia,Both,years,7.06
Nepal,Males,years,4.64
Nepal,Females,years,1.56
Nepal,Both,years,3.1
Netherlands,Males,years,13.82
Netherlands,Females,years,13.61
Netherlands,Both,years,13.72
New Zealand,Males,years,13.86
New Zealand,Females,years,14.16
New Zealand,Both,years,14.01
Nicaragua,Males,years,6.45
Nicaragua,Females,years,6.56
Nicaragua,Both,years,6.5
Niger,Males,years,1.56
Niger,Females,years,0.67
Niger,Both,years,1.11
Nigeria,Males,years,6.85
Nigeria,Females,years,4.61
Nigeria,Both,years,5.73
North Korea,Males,years,10.83
North Korea,Females,years,8.81
North Korea,Both,years,9.82
Norway,Males,years,14.12
Norway,Females,years,14.36
Norway,Both,years,14.24
Oman,Males,years,6.39
Oman,Females,years,4.12
Oman,Both,years,5.25
Pakistan,Males,years,5.7
Pakistan,Females,years,2.33
Pakistan,Both,years,4.02
Palestine,Males,years,9.77
Palestine,Females,years,7.61
Palestine,Both,years,8.69
Panama,Males,years,9.82
Panama,Females,years,10.48
Panama,Both,years,10.15
Papua New Guinea,Males,years,5.42
Papua New Guinea,Females,years,3.48
Papua New Guinea,Both,years,4.45
Paraguay,Males,years,7.92
Paraguay,Females,years,8.18
Paraguay,Both,years,8.05
Peru,Males,years,10.34
Peru,Females,years,9.09
Peru,Both,years,9.71
Philippines,Males,years,9.67
Philippines,Females,years,10.03
Philippines,Both,years,9.85
Poland,Males,years,13.18
Poland,Females,years,13.38
Poland,Both,years,13.28
Portugal,Males,years,8.57
Portugal,Females,years,8.53
Portugal,Both,years,8.55
Qatar,Males,years,8.17
Qatar,Females,years,8.27
Qatar,Both,years,8.22
Romania,Males,years,12.52
Romania,Females,years,11.92
Romania,Both,years,12.22
Russia,Males,years,13.19
Russia,Females,years,13.52
Russia,Both,years,13.36
Rwanda,Males,years,4.59
Rwanda,Females,years,3.09
Rwanda,Both,years,3.84
Saint Lucia,Males,years,10
Saint Lucia,Females,years,10.47
Saint Lucia,Both,years,10.24
Saint Vincent and the Grenadines,Males,years,8.62
Saint Vincent and the Grenadines,Females,years,8.51
Saint Vincent and the Grenadines,Both,years,8.56
Samoa,Males,years,11.21
Samoa,Females,years,11.59
Samoa,Both,years,11.4
Sao Tome and Principe,Males,years,5.74
Sao Tome and Principe,Females,years,3.51
Sao Tome and Principe,Both,years,4.63
Saudi Arabia,Males,years,8.86
Saudi Arabia,Females,years,4.84
Saudi Arabia,Both,years,6.85
Senegal,Males,years,3.6
Senegal,Females,years,1.79
Senegal,Both,years,2.69
Serbia,Males,years,11.89
Serbia,Females,years,11.36
Serbia,Both,years,11.63
Seychelles,Males,years,9.49
Seychelles,Females,years,9.6
Seychelles,Both,years,9.55
Sierra Leone,Males,years,3.62
Sierra Leone,Females,years,1.64
Sierra Leone,Both,years,2.63
Singapore,Males,years,11.31
Singapore,Females,years,9.93
Singapore,Both,years,10.62
Slovakia,Males,years,12.86
Slovakia,Females,years,12.49
Slovakia,Both,years,12.67
Slovenia,Males,years,12.63
Slovenia,Females,years,12.42
Slovenia,Both,years,12.53
Solomon Islands,Males,years,7.43
Solomon Islands,Females,years,5.64
Solomon Islands,Both,years,6.53
Somalia,Males,years,3.24
Somalia,Females,years,1.19
Somalia,Both,years,2.21
South Africa,Males,years,9.17
South Africa,Females,years,9.17
South Africa,Both,years,9.17
South Korea,Males,years,13.04
South Korea,Females,years,11.41
South Korea,Both,years,12.23
South Sudan,Males,years,2.29
South Sudan,Females,years,0.68
South Sudan,Both,years,1.48
Spain,Males,years,10.73
Spain,Females,years,10.69
Spain,Both,years,10.71
Sri Lanka,Males,years,9.98
Sri Lanka,Females,years,9.74
Sri Lanka,Both,years,9.86
Sudan,Males,years,5.12
Sudan,Females,years,2.86
Sudan,Both,years,3.99
Suriname,Males,years,9.13
Suriname,Females,years,8.68
Suriname,Both,years,8.91
Swaziland,Males,years,7.66
Swaziland,Females,years,7.17
Swaziland,Both,years,7.42
Sweden,Males,years,13.4
Sweden,Females,years,13.9
Sweden,Both,years,13.65
Switzerland,Males,years,14.4
Switzerland,Females,years,13.81
Switzerland,Both,years,14.11
Syria,Males,years,7.58
Syria,Females,years,4.97
Syria,Both,years,6.28
Taiwan,Males,years,11.88
Taiwan,Females,years,10.57
Taiwan,Both,years,11.23
Tajikistan,Males,years,11.69
Tajikistan,Females,years,10.38
Tajikistan,Both,years,11.03
Tanzania,Males,years,6.23
Tanzania,Females,years,4.24
Tanzania,Both,years,5.24
Thailand,Males,years,8.44
Thailand,Females,years,7.99
Thailand,Both,years,8.22
The Bahamas,Males,years,11.66
The Bahamas,Females,years,12.25
The Bahamas,Both,years,11.95
The Gambia,Males,years,4.03
The Gambia,Females,years,1.89
The Gambia,Both,years,2.96
Timor-Leste,Males,years,4.66
Timor-Leste,Females,years,3.12
Timor-Leste,Both,years,3.89
Togo,Males,years,5.54
Togo,Females,years,2.48
Togo,Both,years,4.01
Tonga,Males,years,10.75
Tonga,Females,years,10.72
Tonga,Both,years,10.74
