"fips","year","income_median","poverty"
53001,2000,34454,15.9
53003,2000,34234,14.7
53005,2000,48399,9.5
53007,2000,38099,12.5
53009,2000,37420,12.1
53011,2000,49569,8.9
53013,2000,35584,12.2
53015,2000,40457,12.5
53017,2000,38693,11.7
53019,2000,30255,20.2
53021,2000,38071,16.7
53023,2000,34619,12.6
53025,2000,35605,15.6
53027,2000,34724,15
53029,2000,46600,7.6
53031,2000,39519,10.7
53033,2000,55158,7.2
53035,2000,48136,8.1
53037,2000,34324,14
53039,2000,35610,15
53041,2000,35504,13.6
53043,2000,36397,12.4
53045,2000,39921,12.2
53047,2000,29776,19.8
53049,2000,31834,14.8
53051,2000,32790,16.9
53053,2000,46222,9.5
53055,2000,45219,8.7
53057,2000,43136,10.5
53059,2000,40774,11.4
53061,2000,52654,7.1
53063,2000,38172,11.6
53065,2000,35324,15.2
53067,2000,48347,8.6
53069,2000,39688,10.8
53071,2000,36800,13.7
53073,2000,41207,11.4
53075,2000,31212,15.1
53077,2000,34781,17.4
